Token Similarity,AST Similarity,Data Flow Similarity,Runtime Similarity,Clone Type
4,18,62,64,Type-3
11,10,63,10,Type-3
31,36,83,65,Type-3
37,78,88,88,Type-3
16,83,2,95,Type-3
57,60,33,8,Type-3
39,100,70,40,Type-3
95,71,89,36,Type-3
23,1,2,10,Type-3
11,49,19,20,Type-3
94,26,79,14,Type-3
18,49,8,35,Type-3
28,77,72,84,Type-3
84,23,95,91,Type-3
89,98,38,45,Type-3
51,27,36,67,Type-3
91,55,77,55,Type-3
16,33,66,73,Type-3
72,80,95,7,Type-3
20,32,24,50,Type-3
59,22,63,65,Type-3
97,7,4,87,Type-3
74,32,34,10,Type-3
19,63,87,20,Type-3
52,18,81,18,Type-3
79,11,84,7,Type-3
62,3,84,76,Type-3
56,94,16,33,Type-3
28,62,9,88,Type-3
0,43,66,26,Type-3
81,20,2,87,Type-3
58,11,52,37,Type-3
63,70,54,100,Type-3
85,17,94,50,Type-3
71,38,67,37,Type-3
70,74,24,23,Type-3
88,32,57,9,Type-3
93,85,42,8,Type-3
97,71,57,30,Type-3
43,38,18,21,Type-3
47,30,66,4,Type-3
74,26,82,76,Type-3
14,91,30,5,Type-3
34,86,66,52,Type-3
22,40,100,98,Type-3
52,26,7,81,Type-3
44,9,94,19,Type-3
84,22,33,2,Type-3
91,32,63,85,Type-3
12,25,40,88,Type-3
33,76,71,60,Type-3
37,30,63,66,Type-3
69,26,26,26,Type-3
67,12,20,2,Type-3
4,47,92,88,Type-3
39,54,39,73,Type-3
69,57,10,94,Type-3
20,46,63,68,Type-3
27,97,75,100,Type-3
2,46,95,74,Type-3
22,70,51,73,Type-3
71,43,36,77,Type-3
18,75,88,16,Type-3
74,4,82,54,Type-3
49,5,48,73,Type-3
73,89,30,39,Type-3
57,18,56,39,Type-3
91,78,36,17,Type-3
19,8,64,79,Type-3
91,76,54,48,Type-3
92,34,91,44,Type-3
71,33,100,5,Type-3
82,62,31,48,Type-3
52,97,81,62,Type-3
84,92,54,53,Type-3
81,26,76,16,Type-3
8,45,6,80,Type-3
3,44,37,5,Type-3
40,11,14,37,Type-3
24,38,30,71,Type-3
33,1,99,71,Type-3
72,46,18,11,Type-3
8,99,97,50,Type-3
81,52,45,80,Type-3
74,81,41,15,Type-3
12,5,74,6,Type-3
8,93,20,85,Type-3
79,84,43,91,Type-3
3,55,8,12,Type-3
33,21,30,81,Type-3
6,10,16,28,Type-3
14,39,6,21,Type-3
37,41,61,53,Type-3
74,6,87,30,Type-3
95,70,19,54,Type-3
90,30,17,8,Type-3
93,55,23,56,Type-3
51,69,80,8,Type-3
80,89,8,17,Type-3
99,35,37,51,Type-3
82,72,61,48,Type-3
6,35,31,100,Type-3
44,2,4,89,Type-3
58,56,7,14,Type-3
20,30,62,80,Type-3
27,63,38,12,Type-3
2,29,54,29,Type-3
13,94,93,99,Type-3
1,42,42,26,Type-3
28,39,63,67,Type-3
17,93,21,79,Type-3
36,72,27,55,Type-3
44,5,66,69,Type-3
44,24,46,24,Type-3
23,93,58,35,Type-3
45,25,18,37,Type-3
11,66,11,97,Type-3
52,21,35,59,Type-3
44,41,71,34,Type-3
31,44,2,15,Type-3
17,72,68,72,Type-3
12,98,85,91,Type-3
3,6,60,64,Type-3
22,36,52,5,Type-3
61,72,59,68,Type-3
53,90,60,74,Type-3
73,27,10,78,Type-3
54,96,13,55,Type-3
68,62,41,94,Type-3
39,60,53,32,Type-3
13,49,14,16,Type-3
97,5,59,44,Type-3
27,80,99,75,Type-3
71,63,81,62,Type-3
79,86,85,22,Type-3
94,88,0,86,Type-3
70,82,25,82,Type-3
66,28,89,64,Type-3
28,30,66,4,Type-3
99,5,48,27,Type-3
60,100,51,32,Type-3
67,62,54,11,Type-3
8,33,81,17,Type-3
16,23,97,30,Type-3
48,57,92,34,Type-3
62,73,11,6,Type-3
83,58,62,86,Type-3
77,74,22,95,Type-3
45,23,15,5,Type-3
92,61,18,96,Type-3
12,1,12,51,Type-3
99,49,76,5,Type-3
44,92,48,47,Type-3
52,79,10,45,Type-3
16,86,2,41,Type-3
46,34,41,93,Type-3
61,42,15,12,Type-3
49,85,31,80,Type-3
42,34,63,40,Type-3
67,5,30,72,Type-3
83,55,80,21,Type-3
74,86,28,14,Type-3
85,22,29,94,Type-3
71,29,99,77,Type-3
27,100,22,79,Type-3
44,41,94,68,Type-3
40,19,19,5,Type-3
93,10,19,65,Type-3
96,87,64,51,Type-3
96,56,15,25,Type-3
35,81,24,13,Type-3
90,26,95,70,Type-3
83,52,36,44,Type-3
32,6,52,15,Type-3
24,47,33,50,Type-3
18,84,72,33,Type-3
46,78,31,85,Type-3
84,71,13,86,Type-3
32,91,3,51,Type-3
66,84,61,94,Type-3
13,71,19,49,Type-3
78,91,17,4,Type-3
32,97,98,57,Type-3
41,78,20,30,Type-3
85,36,45,26,Type-3
64,90,98,81,Type-3
94,40,85,51,Type-3
46,25,49,49,Type-3
34,75,31,15,Type-3
83,62,3,56,Type-3
31,97,36,80,Type-3
54,94,25,80,Type-3
53,2,79,5,Type-3
75,89,34,22,Type-3
50,56,15,34,Type-3
79,53,16,49,Type-3
58,69,8,58,Type-3
71,57,78,1,Type-3
13,19,52,64,Type-3
17,50,63,62,Type-3
54,39,27,50,Type-3
93,16,85,60,Type-3
96,40,29,70,Type-3
97,64,73,61,Type-3
55,12,57,10,Type-3
48,81,19,84,Type-3
97,63,65,97,Type-3
59,84,5,53,Type-3
52,51,55,55,Type-3
70,11,54,100,Type-3
5,63,99,92,Type-3
69,43,40,8,Type-3
85,11,2,7,Type-3
7,25,99,15,Type-3
100,41,93,55,Type-3
14,27,92,86,Type-3
25,43,59,79,Type-3
38,88,42,52,Type-3
2,84,34,81,Type-3
56,47,62,90,Type-3
9,49,71,13,Type-3
2,10,33,48,Type-3
93,72,68,72,Type-3
45,98,33,49,Type-3
21,35,53,7,Type-3
66,28,72,95,Type-3
64,39,80,93,Type-3
96,16,64,0,Type-3
18,36,36,72,Type-3
99,48,100,79,Type-3
61,71,60,5,Type-3
97,52,91,61,Type-3
56,68,26,50,Type-3
94,22,88,76,Type-3
87,53,86,66,Type-3
75,9,69,63,Type-3
12,46,87,84,Type-3
15,78,10,83,Type-3
15,79,58,47,Type-3
51,26,34,55,Type-3
83,31,16,31,Type-3
40,55,13,65,Type-3
47,50,21,40,Type-3
90,45,25,32,Type-3
38,34,99,35,Type-3
12,100,91,14,Type-3
3,87,97,20,Type-3
95,30,62,47,Type-3
97,34,49,94,Type-3
42,79,50,80,Type-3
80,61,97,37,Type-3
87,35,45,81,Type-3
92,75,73,91,Type-3
45,59,76,34,Type-3
91,79,98,77,Type-3
46,48,59,70,Type-3
85,68,20,68,Type-3
91,68,20,20,Type-3
52,19,47,69,Type-3
24,47,2,31,Type-3
40,37,36,37,Type-3
2,99,6,90,Type-3
76,54,62,7,Type-3
94,95,9,19,Type-3
12,10,89,80,Type-3
17,74,25,12,Type-3
36,48,60,86,Type-3
42,91,8,58,Type-3
33,11,23,31,Type-3
80,45,42,82,Type-3
54,30,69,44,Type-3
51,39,14,77,Type-3
84,93,41,80,Type-3
35,83,69,58,Type-3
53,26,58,38,Type-3
58,24,27,6,Type-3
51,49,7,64,Type-3
18,97,0,79,Type-3
11,34,62,44,Type-3
91,42,54,3,Type-3
10,51,51,82,Type-3
47,4,82,77,Type-3
100,38,73,7,Type-3
91,62,36,97,Type-3
98,71,70,22,Type-3
78,18,31,22,Type-3
15,17,36,24,Type-3
70,79,59,93,Type-3
46,82,10,66,Type-3
66,78,76,89,Type-3
30,92,95,79,Type-3
75,78,19,36,Type-3
7,28,24,84,Type-3
88,16,68,62,Type-3
60,14,27,36,Type-3
43,39,70,25,Type-3
49,74,86,41,Type-3
34,2,21,72,Type-3
75,76,3,57,Type-3
60,37,86,27,Type-3
84,8,34,46,Type-3
89,83,18,54,Type-3
54,47,15,32,Type-3
65,89,68,23,Type-3
13,56,41,25,Type-3
3,75,8,95,Type-3
16,48,32,8,Type-3
68,94,18,19,Type-3
23,1,91,77,Type-3
48,32,37,60,Type-3
54,15,33,26,Type-3
70,4,82,11,Type-3
22,52,71,0,Type-3
80,80,28,46,Type-3
11,62,69,31,Type-3
10,55,100,75,Type-3
74,31,69,49,Type-3
97,14,100,35,Type-3
100,60,75,32,Type-3
28,11,73,44,Type-3
61,16,0,47,Type-3
52,9,74,86,Type-3
47,89,0,71,Type-3
99,43,95,12,Type-3
90,91,53,45,Type-3
85,27,79,83,Type-3
65,86,98,54,Type-3
99,19,66,85,Type-3
47,80,32,66,Type-3
93,51,83,54,Type-3
58,7,15,97,Type-3
70,78,79,97,Type-3
56,86,89,46,Type-3
75,77,57,63,Type-3
2,26,58,61,Type-3
80,76,60,16,Type-3
31,38,54,25,Type-3
7,88,28,54,Type-3
86,89,48,89,Type-3
29,62,41,74,Type-3
14,74,50,69,Type-3
73,37,47,58,Type-3
54,72,24,28,Type-3
37,96,73,68,Type-3
14,50,40,78,Type-3
29,79,51,29,Type-3
45,83,37,70,Type-3
63,6,60,37,Type-3
25,32,4,66,Type-3
77,76,6,88,Type-3
66,46,70,5,Type-3
35,34,78,16,Type-3
89,67,76,81,Type-3
77,62,37,67,Type-3
30,94,9,35,Type-3
77,93,77,84,Type-3
39,2,63,2,Type-3
73,40,10,3,Type-3
72,90,4,79,Type-3
45,31,28,87,Type-3
41,46,53,5,Type-3
17,37,78,95,Type-3
99,5,7,78,Type-3
35,61,9,27,Type-3
75,7,12,70,Type-3
49,53,72,37,Type-3
60,87,45,86,Type-3
39,78,16,24,Type-3
2,24,98,90,Type-3
81,26,14,8,Type-3
6,12,65,44,Type-3
30,83,56,33,Type-3
64,4,77,63,Type-3
94,70,70,82,Type-3
63,57,0,81,Type-3
76,68,26,97,Type-3
92,27,10,72,Type-3
2,36,18,52,Type-3
92,92,87,10,Type-3
34,36,28,76,Type-3
14,6,70,6,Type-3
20,45,22,42,Type-3
61,89,12,52,Type-3
82,57,99,1,Type-3
27,82,97,13,Type-3
3,73,2,86,Type-3
12,55,64,95,Type-3
78,83,66,49,Type-3
50,94,12,44,Type-3
47,99,52,52,Type-3
38,5,46,96,Type-3
95,78,25,34,Type-3
66,87,81,67,Type-3
93,29,51,78,Type-3
57,8,92,63,Type-3
83,64,97,52,Type-3
1,49,76,86,Type-3
24,14,70,29,Type-3
10,57,2,38,Type-3
0,5,41,31,Type-3
47,78,90,58,Type-3
47,70,22,39,Type-3
9,45,59,39,Type-3
80,90,45,7,Type-3
29,9,21,20,Type-3
34,95,0,96,Type-3
18,84,61,28,Type-3
52,43,10,15,Type-3
33,36,54,88,Type-3
31,53,67,91,Type-3
75,99,59,28,Type-3
80,77,74,95,Type-3
5,38,55,25,Type-3
12,59,61,43,Type-3
85,40,16,34,Type-3
74,47,63,58,Type-3
63,77,17,71,Type-3
6,1,52,24,Type-3
44,23,89,0,Type-3
44,9,3,62,Type-3
84,41,81,45,Type-3
64,5,46,74,Type-3
93,2,62,75,Type-3
18,61,50,58,Type-3
46,33,10,5,Type-3
45,89,99,45,Type-3
28,73,9,70,Type-3
98,37,8,98,Type-3
83,53,30,61,Type-3
99,84,90,80,Type-3
60,24,6,33,Type-3
64,65,82,23,Type-3
22,35,43,68,Type-3
94,64,31,87,Type-3
50,43,49,79,Type-3
62,35,16,22,Type-3
98,43,97,1,Type-3
21,87,30,34,Type-3
70,73,30,96,Type-3
32,34,82,35,Type-3
99,59,100,33,Type-3
43,85,61,48,Type-3
6,46,3,46,Type-3
90,97,56,11,Type-3
1,95,93,30,Type-3
16,15,97,8,Type-3
64,93,10,75,Type-3
57,35,20,30,Type-3
29,58,21,38,Type-3
85,60,27,30,Type-3
91,94,30,18,Type-3
96,93,57,55,Type-3
25,68,55,67,Type-3
34,87,32,20,Type-3
62,45,47,2,Type-3
74,99,19,77,Type-3
70,90,1,73,Type-3
27,13,58,25,Type-3
24,100,66,79,Type-3
60,76,92,35,Type-3
30,19,73,99,Type-3
53,27,77,48,Type-3
66,5,56,90,Type-3
96,72,71,21,Type-3
50,21,100,14,Type-3
57,86,62,7,Type-3
33,7,65,84,Type-3
58,0,13,51,Type-3
20,70,73,26,Type-3
55,60,25,48,Type-3
36,60,62,48,Type-3
63,75,26,85,Type-3
18,38,84,5,Type-3
100,80,29,92,Type-3
84,49,77,85,Type-3
77,79,4,35,Type-3
73,67,14,92,Type-3
52,100,55,66,Type-3
70,8,61,37,Type-3
92,8,57,87,Type-3
62,90,55,34,Type-3
61,75,11,29,Type-3
71,33,10,14,Type-3
76,22,12,43,Type-3
18,98,75,31,Type-3
74,8,18,8,Type-3
1,76,98,86,Type-3
5,49,51,22,Type-3
28,57,45,3,Type-3
40,42,58,84,Type-3
50,1,94,21,Type-3
4,65,27,46,Type-3
40,28,70,28,Type-3
61,44,15,97,Type-3
29,56,1,59,Type-3
61,21,31,33,Type-3
99,42,5,78,Type-3
26,84,86,76,Type-3
49,58,93,97,Type-3
81,5,13,97,Type-3
51,56,56,48,Type-3
48,27,15,40,Type-3
61,79,60,47,Type-3
99,0,12,66,Type-3
59,22,68,40,Type-3
79,7,73,94,Type-3
53,60,93,22,Type-3
4,71,59,65,Type-3
8,0,14,42,Type-4
33,10,50,86,Type-3
97,7,95,24,Type-3
35,50,69,18,Type-3
94,30,19,51,Type-3
19,35,68,68,Type-3
80,71,54,77,Type-3
83,87,63,36,Type-3
91,90,7,21,Type-3
84,28,73,14,Type-3
82,81,28,98,Type-3
62,72,79,80,Type-3
66,35,50,37,Type-3
29,37,6,77,Type-3
68,77,81,67,Type-3
69,12,30,46,Type-3
2,39,92,76,Type-3
48,51,100,24,Type-3
41,23,1,87,Type-3
23,60,83,61,Type-3
43,77,70,15,Type-3
0,71,25,45,Type-3
53,11,54,29,Type-3
51,51,49,61,Type-3
35,94,100,5,Type-3
78,97,13,19,Type-3
37,99,52,99,Type-3
43,84,21,85,Type-3
81,3,47,11,Type-3
86,10,14,16,Type-3
46,55,40,97,Type-3
28,100,19,39,Type-3
50,6,89,37,Type-3
40,54,47,65,Type-3
85,75,20,49,Type-3
63,62,30,91,Type-3
87,4,45,33,Type-3
47,2,32,91,Type-3
76,95,39,43,Type-3
96,63,68,84,Type-3
21,98,93,27,Type-3
98,99,32,57,Type-3
16,11,59,94,Type-3
85,93,22,47,Type-3
4,32,20,47,Type-3
60,39,38,40,Type-3
88,40,30,20,Type-3
5,2,93,100,Type-3
52,25,70,19,Type-3
80,37,19,37,Type-3
94,33,64,6,Type-3
16,66,15,26,Type-3
58,77,36,38,Type-3
96,13,23,70,Type-3
38,80,44,33,Type-3
53,78,33,97,Type-3
47,11,83,64,Type-3
36,38,82,73,Type-3
47,93,7,41,Type-3
67,61,74,74,Type-3
77,48,95,40,Type-3
76,58,66,7,Type-3
26,50,57,68,Type-3
87,70,50,72,Type-3
26,34,39,14,Type-3
71,50,18,96,Type-3
62,30,62,25,Type-3
51,39,89,36,Type-3
46,36,51,85,Type-3
20,13,3,17,Type-3
56,57,99,90,Type-3
74,27,88,79,Type-3
94,11,32,13,Type-3
90,69,77,52,Type-3
41,67,70,91,Type-3
47,96,25,60,Type-3
26,55,15,1,Type-3
71,4,50,98,Type-3
32,8,11,14,Type-3
75,61,94,58,Type-3
34,81,87,59,Type-3
97,95,7,65,Type-3
15,94,100,25,Type-3
35,33,11,70,Type-3
65,39,35,51,Type-3
75,90,77,22,Type-3
90,100,82,16,Type-3
55,100,73,58,Type-3
16,38,79,13,Type-3
19,12,74,71,Type-3
84,3,47,41,Type-3
93,8,32,49,Type-3
83,71,100,7,Type-3
7,5,7,52,Type-4
17,32,26,73,Type-3
17,69,29,98,Type-3
17,47,11,31,Type-3
1,80,91,80,Type-3
75,36,12,15,Type-3
95,76,72,10,Type-3
71,21,88,60,Type-3
50,49,24,37,Type-3
9,18,43,61,Type-3
74,27,79,77,Type-3
13,63,73,5,Type-3
25,57,88,79,Type-3
46,24,5,89,Type-3
29,71,39,77,Type-3
55,57,58,46,Type-3
41,31,30,7,Type-3
3,46,0,9,Type-3
10,74,13,81,Type-3
23,37,77,95,Type-3
85,17,77,94,Type-3
66,26,46,59,Type-3
36,36,95,63,Type-3
1,41,54,63,Type-3
11,35,88,65,Type-3
20,33,15,41,Type-3
68,14,51,89,Type-3
70,60,73,85,Type-3
63,76,52,25,Type-3
67,26,47,31,Type-3
42,18,13,8,Type-3
53,99,89,7,Type-3
99,76,40,58,Type-3
61,6,95,75,Type-3
85,60,48,27,Type-3
92,0,50,77,Type-3
72,20,11,81,Type-3
89,15,8,87,Type-3
11,48,81,76,Type-3
0,28,65,14,Type-3
71,87,4,4,Type-3
32,82,65,95,Type-3
63,90,85,44,Type-3
67,46,1,70,Type-3
13,0,65,25,Type-3
92,90,88,86,Type-3
13,13,20,43,Type-3
8,74,27,90,Type-3
72,86,58,67,Type-3
25,46,44,73,Type-3
48,59,75,62,Type-3
16,83,51,92,Type-3
67,25,44,66,Type-3
59,17,29,12,Type-3
2,35,76,78,Type-3
92,93,88,6,Type-3
24,52,67,42,Type-3
20,67,14,47,Type-3
11,82,31,67,Type-3
53,61,0,43,Type-3
0,68,56,1,Type-3
0,65,91,100,Type-3
44,9,53,83,Type-3
45,57,21,19,Type-3
47,48,30,67,Type-3
6,54,94,12,Type-3
9,42,7,71,Type-3
14,74,95,80,Type-3
39,50,91,57,Type-3
10,21,76,8,Type-3
55,42,62,83,Type-3
45,7,98,100,Type-3
44,2,14,7,Type-3
86,40,76,22,Type-3
12,52,92,69,Type-3
26,39,46,8,Type-3
80,57,55,88,Type-3
49,17,93,64,Type-3
60,49,63,41,Type-3
12,85,23,38,Type-3
11,10,14,15,Type-3
28,65,30,10,Type-3
84,21,88,93,Type-3
83,62,63,45,Type-3
19,78,39,16,Type-3
30,7,82,62,Type-3
7,82,38,34,Type-3
23,72,55,68,Type-3
74,68,8,55,Type-3
38,71,1,52,Type-3
32,96,46,66,Type-3
41,14,73,93,Type-3
14,14,59,55,Type-3
67,6,13,95,Type-3
64,84,63,72,Type-3
31,25,46,98,Type-3
10,64,1,1,Type-3
93,50,98,66,Type-3
36,89,48,22,Type-3
18,25,10,96,Type-3
50,91,21,43,Type-3
99,8,8,27,Type-3
33,25,48,29,Type-3
70,76,44,12,Type-3
59,4,41,91,Type-3
83,17,43,77,Type-3
52,52,63,4,Type-3
11,22,61,46,Type-3
61,91,69,27,Type-3
95,100,76,18,Type-3
65,68,96,58,Type-3
85,60,34,76,Type-3
47,90,50,13,Type-3
39,83,4,19,Type-3
23,99,55,100,Type-3
49,100,98,43,Type-3
94,33,37,14,Type-3
67,77,35,18,Type-3
87,46,7,12,Type-3
42,69,83,44,Type-3
16,26,17,17,Type-3
82,1,73,95,Type-3
54,8,49,61,Type-3
33,74,91,6,Type-3
96,53,59,33,Type-3
69,4,65,40,Type-3
59,74,24,76,Type-3
50,2,64,60,Type-3
99,89,49,41,Type-3
76,13,90,85,Type-3
72,8,70,33,Type-3
34,82,97,50,Type-3
33,80,100,36,Type-3
15,48,58,85,Type-3
81,57,41,39,Type-3
17,87,73,27,Type-3
37,77,99,18,Type-3
42,9,34,38,Type-3
31,6,73,20,Type-3
6,12,60,43,Type-3
86,34,15,37,Type-3
86,60,83,8,Type-3
45,94,56,90,Type-3
60,37,97,88,Type-3
17,36,52,13,Type-3
70,92,56,22,Type-3
39,69,9,51,Type-3
87,7,72,57,Type-3
77,88,46,21,Type-3
49,68,87,29,Type-3
4,73,4,78,Type-3
53,22,68,36,Type-3
85,0,76,37,Type-3
57,12,45,20,Type-3
21,100,5,45,Type-3
73,25,91,1,Type-3
89,82,100,99,Type-3
78,89,60,11,Type-3
37,59,4,97,Type-3
48,49,1,72,Type-3
0,50,48,22,Type-3
77,56,27,22,Type-3
35,65,60,58,Type-3
94,62,82,82,Type-3
27,40,43,3,Type-3
97,82,3,73,Type-3
34,75,56,80,Type-3
59,34,27,23,Type-3
61,95,89,94,Type-3
86,52,85,76,Type-3
45,76,51,38,Type-3
82,99,21,1,Type-3
81,64,49,16,Type-3
78,32,81,15,Type-3
60,52,9,1,Type-3
64,3,52,11,Type-3
88,1,35,51,Type-3
25,7,61,69,Type-3
34,79,8,0,Type-3
56,21,21,12,Type-3
78,73,85,3,Type-3
62,72,25,56,Type-3
3,70,65,10,Type-3
78,80,55,92,Type-3
41,29,5,15,Type-3
44,74,13,68,Type-3
38,42,24,95,Type-3
64,54,47,57,Type-3
21,14,89,38,Type-3
10,70,82,67,Type-3
36,60,39,40,Type-3
89,66,33,91,Type-3
50,22,5,1,Type-3
90,26,1,99,Type-3
57,93,83,22,Type-3
76,47,4,35,Type-3
6,60,90,90,Type-3
7,15,14,11,Type-4
50,13,99,12,Type-3
22,51,8,32,Type-3
89,85,89,8,Type-3
90,19,6,97,Type-3
8,9,24,29,Type-3
45,57,36,14,Type-3
37,28,27,95,Type-3
12,3,44,3,Type-3
6,94,0,20,Type-3
10,77,67,20,Type-3
73,4,37,15,Type-3
96,37,100,90,Type-3
49,67,45,29,Type-3
66,74,91,34,Type-3
40,88,10,87,Type-3
28,11,23,35,Type-3
36,51,96,31,Type-3
55,94,9,9,Type-3
79,74,76,45,Type-3
15,95,1,30,Type-3
43,74,33,2,Type-3
49,70,72,20,Type-3
70,65,0,64,Type-3
78,64,34,2,Type-3
5,88,67,31,Type-3
17,72,55,4,Type-3
18,45,26,54,Type-3
50,99,92,48,Type-3
65,92,1,98,Type-3
2,9,2,92,Type-4
88,90,53,14,Type-3
99,18,17,57,Type-3
53,82,82,63,Type-3
48,19,9,16,Type-3
27,28,86,22,Type-3
37,66,47,28,Type-3
27,21,19,4,Type-3
31,55,28,83,Type-3
40,85,4,89,Type-3
35,92,28,68,Type-3
35,22,85,28,Type-3
86,39,75,58,Type-3
65,89,12,11,Type-3
9,46,88,68,Type-3
69,62,22,24,Type-3
71,85,93,93,Type-3
78,37,100,68,Type-3
92,8,85,80,Type-3
62,84,44,1,Type-3
91,99,69,99,Type-3
21,49,0,98,Type-3
97,60,5,59,Type-3
19,99,88,61,Type-3
32,95,73,50,Type-3
14,95,42,52,Type-3
6,97,72,49,Type-3
87,60,81,86,Type-3
89,22,48,5,Type-3
49,25,100,37,Type-3
9,79,31,0,Type-3
78,2,47,34,Type-3
36,65,57,66,Type-3
58,35,33,69,Type-3
87,72,72,100,Type-3
74,91,35,85,Type-3
62,87,50,95,Type-3
20,44,67,11,Type-3
78,91,50,96,Type-3
78,70,94,94,Type-3
36,89,86,65,Type-3
44,45,5,67,Type-3
13,64,72,33,Type-3
42,34,84,68,Type-3
84,81,94,97,Type-3
83,85,44,0,Type-3
32,76,38,12,Type-3
2,15,88,65,Type-3
86,46,18,23,Type-3
43,92,81,39,Type-3
86,20,20,34,Type-3
90,8,86,73,Type-3
34,92,76,5,Type-3
24,75,68,25,Type-3
95,7,81,84,Type-3
85,73,88,84,Type-3
7,97,54,3,Type-3
61,46,11,61,Type-3
17,83,68,28,Type-3
91,79,11,48,Type-3
27,41,0,85,Type-3
74,10,48,2,Type-3
11,56,28,30,Type-3
63,77,89,67,Type-3
1,94,96,20,Type-3
58,39,48,45,Type-3
36,33,16,72,Type-3
3,3,98,52,Type-3
40,49,34,30,Type-3
44,47,62,36,Type-3
33,6,3,90,Type-3
86,41,20,75,Type-3
12,64,34,32,Type-3
6,49,54,85,Type-3
31,45,72,8,Type-3
22,87,52,20,Type-3
48,41,71,74,Type-3
71,91,3,87,Type-3
46,23,48,41,Type-3
36,76,71,59,Type-3
97,9,22,69,Type-3
47,25,41,37,Type-3
28,1,85,5,Type-3
36,96,65,80,Type-3
22,91,35,6,Type-3
37,90,77,78,Type-3
92,69,99,18,Type-3
43,60,21,82,Type-3
4,57,32,31,Type-3
51,50,51,44,Type-3
39,80,22,54,Type-3
10,96,22,61,Type-3
77,78,12,5,Type-3
1,45,0,14,Type-3
34,2,82,66,Type-3
44,73,33,4,Type-3
48,92,37,12,Type-3
34,70,23,80,Type-3
91,49,100,65,Type-3
71,35,64,83,Type-3
31,51,68,43,Type-3
67,43,6,34,Type-3
70,85,61,39,Type-3
38,94,27,62,Type-3
47,13,0,18,Type-3
90,65,12,94,Type-3
36,48,50,84,Type-3
59,69,70,49,Type-3
80,82,49,25,Type-3
73,26,60,56,Type-3
3,69,55,99,Type-3
22,1,21,51,Type-3
13,76,52,28,Type-3
4,46,20,22,Type-3
65,59,15,12,Type-3
23,9,57,32,Type-3
17,60,76,36,Type-3
26,39,14,24,Type-3
23,4,52,70,Type-3
28,13,19,0,Type-3
10,94,94,54,Type-3
17,88,52,42,Type-3
3,69,22,68,Type-3
32,75,84,65,Type-3
77,66,82,49,Type-3
41,22,56,60,Type-3
31,64,19,96,Type-3
50,78,30,78,Type-3
3,76,47,79,Type-3
19,37,8,39,Type-3
84,13,4,58,Type-3
66,18,13,76,Type-3
88,8,38,38,Type-3
67,91,48,23,Type-3
61,32,9,71,Type-3
57,32,31,87,Type-3
46,44,63,23,Type-3
74,38,69,57,Type-3
79,32,59,65,Type-3
58,3,26,58,Type-3
99,81,1,67,Type-3
5,25,83,50,Type-3
94,24,83,63,Type-3
39,98,40,77,Type-3
76,81,50,89,Type-3
22,32,66,80,Type-3
51,17,96,65,Type-3
3,28,60,29,Type-3
36,7,7,85,Type-3
41,48,5,12,Type-3
100,65,56,90,Type-3
43,67,55,87,Type-3
96,78,21,82,Type-3
41,71,77,1,Type-3
28,93,89,23,Type-3
100,46,49,100,Type-3
18,38,35,50,Type-3
83,87,36,100,Type-3
31,63,61,11,Type-3
43,11,28,3,Type-3
54,35,64,72,Type-3
79,13,97,70,Type-3
4,95,76,52,Type-3
45,50,6,62,Type-3
75,54,8,61,Type-3
44,77,80,55,Type-3
20,27,85,33,Type-3
77,42,10,91,Type-3
100,19,60,35,Type-3
21,12,3,77,Type-3
29,45,61,13,Type-3
22,44,62,32,Type-3
4,80,39,34,Type-3
62,29,93,2,Type-3
92,47,20,56,Type-3
58,16,81,96,Type-3
93,95,24,50,Type-3
81,43,41,71,Type-3
51,82,82,9,Type-3
64,72,48,61,Type-3
38,42,28,85,Type-3
80,63,60,3,Type-3
2,89,79,36,Type-3
41,0,9,8,Type-3
70,48,40,60,Type-3
26,18,45,54,Type-3
27,11,96,46,Type-3
53,27,58,79,Type-3
94,30,85,68,Type-3
14,59,68,67,Type-3
52,76,57,95,Type-3
71,52,3,62,Type-3
69,52,40,31,Type-3
91,10,16,74,Type-3
3,11,53,91,Type-3
93,86,63,94,Type-3
16,57,91,26,Type-3
33,46,46,75,Type-3
5,92,78,13,Type-3
35,62,97,72,Type-3
98,8,71,94,Type-3
38,13,54,9,Type-3
79,95,40,41,Type-3
65,66,12,11,Type-3
7,6,83,92,Type-3
14,5,49,65,Type-3
62,34,39,91,Type-3
90,90,57,0,Type-3
79,54,32,50,Type-3
64,27,31,5,Type-3
58,22,81,41,Type-3
9,9,44,88,Type-3
6,80,84,83,Type-3
73,53,10,63,Type-3
75,61,74,44,Type-3
80,14,72,27,Type-3
11,13,79,23,Type-3
78,10,27,55,Type-3
45,54,85,19,Type-3
31,92,38,80,Type-3
31,17,31,22,Type-3
89,25,85,11,Type-3
77,46,59,35,Type-3
89,88,2,67,Type-3
60,39,93,36,Type-3
68,42,74,53,Type-3
60,64,86,60,Type-3
45,2,76,20,Type-3
67,18,25,33,Type-3
91,10,25,96,Type-3
54,91,18,18,Type-3
0,81,96,13,Type-3
76,52,84,29,Type-3
66,13,98,83,Type-3
48,76,59,24,Type-3
24,82,87,88,Type-3
15,43,45,41,Type-3
84,50,21,5,Type-3
12,31,13,65,Type-3
51,42,34,68,Type-3
35,32,4,6,Type-3
71,5,85,0,Type-3
43,29,88,3,Type-3
82,73,97,92,Type-3
46,29,33,28,Type-3
